value_eth,is_new_recipient,interaction_count,gas_gwei,blacklist_hit,repeat_tx,label
1.426416154334468,1,0,34.98664951556301,0,0,1
0.7496989847971596,1,0,25.30249512689207,0,0,0
0.5,0,7,24.156340319341037,0,0,0
2.507913144474003,1,0,33.37538129734429,0,0,1
0.8295052011308803,1,0,23.030042407874376,0,0,0
1.350871403050051,1,0,345.75896328023543,0,0,1
1.0950606371677247,1,1,34.05484040387346,0,1,1
0.4139454859945913,1,0,262.56673055313007,0,0,1
0.5,0,15,15.0,0,0,0
5.0,1,0,32.05502490521926,1,0,1
2.0959768293792633,1,0,30.0,0,0,1
1.0099581088500014,1,0,162.59519619843056,0,0,1
0.3922185060953403,1,0,181.59453988986175,0,0,1
0.002507081796392126,1,0,20.22501456553244,0,0,0
0.009223267908771912,0,46,15.0,0,0,0
0.5,0,12,15.0,0,0,0
0.012072116621329855,0,32,15.0,0,0,0
14.99943733606889,0,4,0.235533298,0,1,0
0.0019489896320712544,0,13,15.0,0,0,0
0.40280248325602114,1,6,143.52110698156025,0,0,0
1.3319351453109245,0,0,0.245976873,0,0,0
1.7953517269010104,1,1,30.0,0,1,1
0.0029075169572749127,1,0,15.0,0,0,0
3.6185568348519515,1,0,30.0,0,0,1
1.6451142903938065,1,0,181.28474488177375,0,0,1
0.5665944793515697,0,0,0.254626787,0,0,0
0.9996205288368658,1,0,176.67523648791965,0,0,1
0.2,0,28,22.694166227922285,0,0,0
0.009331187992535498,1,0,24.05826888247435,0,0,0
0.012870698766931856,0,29,15.0,0,0,0
4.979767202891438,1,0,30.0,0,0,1
0.005851490615520233,1,0,21.46035037640446,0,0,0
0.980164356994988,1,0,24.44849121241867,0,0,0
0.10407608754900868,0,10,99.26006579565319,0,0,0
0.2834972576901323,1,8,83.13645321335059,0,0,0
0.00996023081940282,0,15,15.0,0,0,0
0.0010196943589089898,1,0,25.15475070422838,0,0,0
0.5,0,13,21.249115470710066,0,0,0
14.29392246,0,0,21.0,0,0,0
0.77665,0,0,0.262824488,0,0,0
1.611465810243095,1,1,30.0,0,1,1
0.5,0,9,15.0,0,0,0
0.009300357154783705,0,13,15.0,0,0,0
4.865120970613832,1,0,30.0,0,0,1
0.00010123657471821722,1,0,20.830200147232873,0,0,0
0.9022977400100258,1,0,20.0,0,0,0
102.624923207541,0,5,0.373931154,0,1,0
2.023025248796717,0,0,0.373931154,0,0,0
0.5,0,13,15.0,0,0,0
0.27681943786640684,1,0,20.0,0,0,0
0.005729131645945178,1,0,15.0,0,0,0
0.2,0,49,23.515927060787114,0,0,0
1.8596313535561468,1,0,30.0,0,0,1
0.2,0,35,15.0,0,0,0
0.0058409623996726135,0,19,15.0,0,0,0
0.8212055390528095,1,0,223.24490481390978,0,0,1
0.0035417820026736892,1,0,20.6547952274852,0,0,0
0.5693966538539117,0,0,0.243057875,0,0,0
5.0,1,0,23.176915364706286,1,0,1
0.2,0,49,15.0,0,0,0
0.11478248524989906,1,4,137.78481098371935,0,0,0
0.008934918520534567,1,0,15.0,0,0,0
1.3528668578201106,1,0,337.4257907010277,0,0,1
0.08222338136799606,0,3,141.4544554244379,0,0,0
0.6344693647341945,1,1,36.13533042648081,0,1,1
0.01123,1,0,1.114816363,0,0,0
0.509994242546929,0,0,0.251043358,0,0,0
0.2,0,37,20.019655050085916,0,0,0
0.65537122,1,0,20.0,0,0,0
1.0240093209461425,1,0,30.0,0,0,1
0.005682763713185295,1,0,15.0,0,0,0
0.00847118109349915,1,0,15.0,0,0,0
0.6569836185957898,1,2,30.0,0,1,1
0.00736983660877684,1,0,24.157477762716283,0,0,0
0.2,0,34,24.70813750893878,0,0,0
0.5,0,19,22.550304186457776,0,0,0
0.009964706406585814,1,0,18.450118313170115,0,0,0
0.2,0,22,15.0,0,0,0
0.0033376033259004184,0,11,15.0,0,0,0
1.5194240768450737,1,0,30.0,0,0,1
0.5,0,9,24.10512895949812,0,0,0
1.039581593098404,1,0,35.6901031802849,0,1,1
0.5,0,13,20.27103957893178,0,0,0
0.2,0,25,19.950786390443316,0,0,0
0.014048202180662472,1,0,21.833896951859995,1,0,1
9.999559,0,0,22.000001337,0,0,0
0.5,0,10,25.143944359600273,0,0,0
1.644157172271599,1,0,34.86797589598132,0,1,1
4.817942653421812,1,0,30.0,0,0,1
0.003799778616283528,1,0,15.0,0,0,0
2.4349578961772167,1,0,30.0,0,0,1
0.4808250395535277,1,0,339.1528526926612,0,0,1
0.2,0,30,22.447369920277062,0,0,0
0.5648589072258975,1,0,55.65673147235087,1,0,1
0.28945120189164075,0,3,115.84945348425265,0,0,0
0.0013,0,1,20.815012353,0,1,0
0.010993297853736452,0,13,20.313801423101424,0,0,0
0.6442380145607589,1,0,20.0,0,0,0
0.00485,1,0,1.045255223,0,0,0
0.5,0,20,22.806059167129067,0,0,0
0.005117017300047349,1,0,15.0,0,0,0
0.17479393412490907,1,4,94.00028156038411,0,0,0
0.4409412037402542,0,16,15.0,0,0,0
0.17923967345672834,0,9,15.0,0,0,0
0.5,0,10,25.387162889141287,0,0,0
0.00634699787082978,1,0,41.79147795215686,0,0,0
0.17678757498615016,0,25,23.76690869633646,0,0,0
0.13493118767894952,0,3,92.16415414424328,0,0,0
0.4966996626813378,1,9,148.78449475284555,0,0,0
1.8124270078480722,1,0,188.94670808637179,0,0,1
0.283219367265234,1,9,83.86235335870687,0,0,0
0.0522026825183558,1,0,20.0,1,0,1
0.002480708464473497,0,11,15.0,0,0,0
0.2,0,18,23.30421467558721,0,0,0
0.07515506956707028,0,3,132.51675575200858,0,0,0
0.3431306768092225,0,10,128.22149894915736,0,0,0
1.3517514367235535,1,2,36.7526494669034,0,1,1
23.80646415997477,0,12,0.249031321,0,1,0
0.4961757568666623,0,8,118.62621414942862,0,0,0
1.8785967056344175,1,0,30.0,0,0,1
0.2,0,22,15.0,0,0,0
0.42277835,1,0,20.0,0,0,0
0.5,0,20,23.39148057204837,0,0,0
0.004390866237001415,1,0,15.0,0,0,0
