value_eth,is_new_recipient,interaction_count,gas_gwei,blacklist_hit,repeat_tx,label
7.46762639,1,2,22.000001337,0,0,1
9.29128384,1,1,20.0,0,0,1
0.005,1,1,21.0,0,0,1
121.52390758,1,2,22.000001337,0,0,1
0.1,1,4,100.0,0,0,1
8.20617498,1,0,22.000001337,0,0,1
15.999971481573748,1,0,0.450152997,0,0,1
0.00485014,1,2,1.123530282,0,0,1
0.833494160762418,1,1,0.43362083,0,0,1
14.95892246,1,1,22.127224645,0,0,1
22.29999063,1,1,22.000001337,0,0,1
14.99142246,1,0,22.127224645,0,0,1
10.67392246,1,0,21.0,0,0,1
19.99392246,1,2,21.0,0,0,1
12.82402686,1,1,22.127224645,0,0,1
0.00185,1,2,1.095563765,0,0,1
0.00235,1,0,1.046317694,0,0,1
0.0100398,1,1,1.310672058,0,0,1
9.13005203,1,1,22.000001337,0,0,1
0.00193,1,3,1.046240873,0,0,1
2.31651129,1,1,21.0,0,0,1
0.01,1,2,20.0,0,0,1
15.7699344,1,3,22.127224645,0,0,1
50.0,1,1,20.0,0,0,1
5.01965,1,1,1.165292486,0,0,1
1.4095892478534822,1,0,0.321843841,0,0,1
10.86625763,1,2,22.127224645,0,0,1
0.25500371,1,3,1.158304637,0,0,1
2.204,1,0,22.667583079,0,0,1
4.999950148978994,1,0,0.377078153,0,0,1
27.98392246,1,3,21.0,0,0,1
0.005,1,0,20.0,0,0,1
0.00134,1,1,1.043824123,0,0,1
16.471890489971923,1,1,22.000001337,0,0,1
1.402756846965275,1,1,0.327010236,0,0,1
19.985921639,1,1,0.43476765,0,0,1
1.47167235,1,3,20.0,0,0,1
59.99392246,1,0,22.000001337,0,0,1
7.48738593,1,4,22.000001337,0,0,1
0.00994542,1,0,1.184147797,0,0,1
1.6999555321277011,1,0,0.243057875,0,0,1
0.514994440262348,1,0,0.517813986,0,0,1
22.409211851347845,1,2,0.304430225,0,0,1
10.98392246,1,1,22.127224645,0,0,1
6.642346,1,0,20.0,0,0,1
35.423,1,1,20.272024492,0,0,1
6.0122309,1,1,21.0,0,0,1
9.9920973,1,2,22.000001337,0,0,1
10.00392246,1,1,21.0,0,0,1
0.245354,1,2,1.041765475,0,0,1
0.0363135,1,2,1.126092759,0,0,1
0.005,1,0,20.0,0,0,1
12.303,1,1,20.0,0,0,1
3.48151,1,0,20.0,0,0,1
0.05000067,1,1,1.11040234,0,0,1
1.7772,1,1,21.0,0,0,1
2.01006804,1,1,21.0,0,0,1
0.6242853217579496,1,0,0.244157391,0,0,1
0.536,1,0,0.304430225,0,0,1
0.49985,1,1,1.0788472,0,0,1
0.097,1,2,22.105999998,0,0,1
19.99392246,1,0,20.159005428,0,0,1
0.00185,1,1,1.095563765,0,0,1
0.01,1,1,20.0,0,0,1
103.31827880963154,1,1,0.249454777,0,0,1
9.99349424,1,1,22.000001337,0,0,1
2.01759901,1,3,21.0,0,0,1
0.05318,1,0,1.04238713,0,0,1
6.839652567052158,1,1,0.3193392,0,0,1
6.8941,1,1,0.242126516,0,0,1
0.7099888935289604,1,0,0.4032001,0,0,1
0.06114871,1,2,1.13083176,0,0,1
0.804993563616424,1,2,0.330598925,0,0,1
10.37377037,1,2,22.127224645,0,0,1
86.51988364470017,1,0,0.450152997,0,0,1
7.08369826,1,0,22.000001337,0,0,1
26.28722593,1,1,20.0,0,0,1
0.5347916142203696,1,0,0.298840711,0,0,1
0.2761826,1,1,20.0,0,0,1
0.487858634790019,1,0,0.363883524,0,0,1
35.06078046,1,1,22.000001337,0,0,1
0.95360309,1,1,20.272024492,0,0,1
2.23375,1,0,1.181046031,0,0,1
0.05985,1,0,1.128293835,0,0,1
0.01,1,2,20.0,0,0,1
0.112408,1,2,20.0,0,0,1
